stars_credit,stars_field,gri_standard,gri_disclosure,relationship,confidence,review_status,rationale,caveat,claude_verdict,claude_note,reviewed_by,reviewed_date
OP-6,Annual scope 1 GHG emissions,GRI 305,305-1,equivalent,high,confirmed,STARS reports total annual scope 1 in metric tons CO2e; GRI 305-1 requires gross direct (Scope 1) GHG emissions in metric tons CO2e.,GRI 305-1 additionally requires biogenic CO2 to be reported separately from the gross figure.,agree,"Correct: GRI 305-1-a is gross scope 1 in t CO2e, which is this field. BUT only Cork populates it — Berkeley and TU Dublin leave it blank and report only the components. Phase 5 must sum lines 3-6 for those two, not print a blank.",claude,2026-08-18
OP-6,Scope 1 GHG emissions from stationary combustion,GRI 305,305-1,component,high,confirmed,A constituent of the scope 1 total that GRI 305-1 reports as one gross figure.,,agree,A GHG Protocol scope 1 sub-category. GRI 305-1 wants one gross figure; these are its parts.,claude,2026-08-18
OP-6,Scope 1 GHG emissions from mobile combustion,GRI 305,305-1,component,high,confirmed,A constituent of the scope 1 total that GRI 305-1 reports as one gross figure.,,agree,A GHG Protocol scope 1 sub-category. GRI 305-1 wants one gross figure; these are its parts.,claude,2026-08-18
OP-6,Scope 1 GHG fugitive emissions,GRI 305,305-1,component,high,confirmed,A constituent of the scope 1 total that GRI 305-1 reports as one gross figure.,,agree,A GHG Protocol scope 1 sub-category. GRI 305-1 wants one gross figure; these are its parts.,claude,2026-08-18
OP-6,Scope 1 GHG process emissions,GRI 305,305-1,component,high,confirmed,A constituent of the scope 1 total that GRI 305-1 reports as one gross figure.,,agree,A GHG Protocol scope 1 sub-category. GRI 305-1 wants one gross figure; these are its parts.,claude,2026-08-18
OP-6,GHG emissions from biogenic sources,GRI 305,305-1,partial,medium,confirmed,GRI 305-1 requires biogenic CO2 emissions to be stated separately from gross scope 1.,GRI asks for biogenic CO2 specifically; the STARS field is CO2-equivalent and may not be the same boundary.,agree,"Correct as partial, and the caveat matters more than I first wrote: GRI 305-1 compilation requirement 2.1.2 EXPLICITLY excludes biogenic CH4 and N2O, while the STARS field is 'GHG emissions from biogenic sources' in CO2e and may include them. Values are 0 for Cork and Berkeley, so impact is nil today — but the definitional gap is real.",claude,2026-08-18
OP-6,Annual scope 2 GHG emissions,GRI 305,305-2,equivalent,high,confirmed,STARS scope 2 total corresponds to GRI 305-2 energy indirect emissions.,"GRI 305-2 requires location-based and, where available, market-based figures reported separately. Do not present a single scope 2 number without saying which method.",agree,"Correct. Two notes: only Cork populates it; and Cork reports 8,144 for annual scope 2, market-based AND location-based alike. Identical figures for two methods that should differ suggests only one was calculated — flag in the report.",claude,2026-08-18
OP-6,Scope 2 GHG emissions from off-site sources of electricity (market-based),GRI 305,305-2,component,high,confirmed,"Market-based scope 2 electricity, one of the two methods GRI 305-2 requires.",,agree,"A scope 2 sub-category. GRI 305-2 requires location- and market-based separately, which these supply.",claude,2026-08-18
OP-6,Scope 2 GHG emissions from off-site sources of electricity (location-based),GRI 305,305-2,component,high,confirmed,"Location-based scope 2 electricity, one of the two methods GRI 305-2 requires.",,agree,"A scope 2 sub-category. GRI 305-2 requires location- and market-based separately, which these supply.",claude,2026-08-18
OP-6,Scope 2 GHG emissions from off-site sources of heating and cooling,GRI 305,305-2,component,high,confirmed,Purchased heating/cooling is within the GRI 305-2 scope 2 boundary.,,agree,"A scope 2 sub-category. GRI 305-2 requires location- and market-based separately, which these supply.",claude,2026-08-18
